"ABW","Americas","Latin America and the Caribbean","Aruba","AWG"
"AFG","Asia","Southern Asia","Afghanistan","AFN"
"AGO","Africa","Sub-Saharan Africa","Angola","AOA"
"AIA","Americas","Latin America and the Caribbean","Anguilla","XCD"
"ALA","Europe","Northern Europe","Åland Islands","EUR"
"ALB","Europe","Southern Europe","Albania","ALL"
"AND","Europe","Southern Europe","Andorra","EUR"
"ARG","Americas","Latin America and the Caribbean","Argentina","ARS"
"ARM","Asia","Western Asia","Armenia","AMD"
"ASM","Oceania","Polynesia","American Samoa","USD"
"ATA","","","Antarctica",""
"ATG","Americas","Latin America and the Caribbean","Antigua and Barbuda","XCD"
"AUS","Oceania","Australia and New Zealand","Australia","AUD"
"AUT","Europe","Western Europe","Austria","EUR"
"AZE","Asia","Western Asia","Azerbaijan","AZN"
"BDI","Africa","Sub-Saharan Africa","Burundi","BIF"
"BEL","Europe","Western Europe","Belgium","EUR"
"BEN","Africa","Sub-Saharan Africa","Benin","XOF"
"BES","Americas","Latin America and the Caribbean","Bonaire, Sint Eustatius and Saba","USD"
"BFA","Africa","Sub-Saharan Africa","Burkina Faso","XOF"
"BGD","Asia","Southern Asia","Bangladesh","BDT"
"BGR","Europe","Eastern Europe","Bulgaria","BGN"
"BHR","Asia","Western Asia","Bahrain","BHD"
"BIH","Europe","Southern Europe","Bosnia and Herzegovina","BAM"
"BLM","Americas","Latin America and the Caribbean","Saint Barthélemy","EUR"
"BLR","Europe","Eastern Europe","Belarus","BYN"
"BLZ","Americas","Latin America and the Caribbean","Belize","BZD"
"BMU","Americas","Northern America","Bermuda","BMD"
"BOL","Americas","Latin America and the Caribbean","Bolivia (Plurinational State of)","BOV"
"BRA","Americas","Latin America and the Caribbean","Brazil","BRL"
"BRB","Americas","Latin America and the Caribbean","Barbados","BBD"
"BRN","Asia","South-eastern Asia","Brunei Darussalam","BND"
"BTN","Asia","Southern Asia","Bhutan","BTN"
"BVT","Americas","Latin America and the Caribbean","Bouvet Island","NOK"
"BWA","Africa","Sub-Saharan Africa","Botswana","BWP"
"CAN","Americas","Northern America","Canada","CAD"
"CHE","Europe","Western Europe","Switzerland","CHF"
"CHL","Americas","Latin America and the Caribbean","Chile","CLP"
"CHN","Asia","Eastern Asia","China","CNY"
"CIV","Africa","Sub-Saharan Africa","Côte d'Ivoire","XOF"
"CMR","Africa","Sub-Saharan Africa","Cameroon","XAF"
"COL","Americas","Latin America and the Caribbean","Colombia","COP"
"CPV","Africa","Sub-Saharan Africa","Cabo Verde","CVE"
"CRI","Americas","Latin America and the Caribbean","Costa Rica","CRC"
"CUB","Americas","Latin America and the Caribbean","Cuba","CUP"
"CUW","Americas","Latin America and the Caribbean","Curaçao","ANG"
"CXR","Oceania","Australia and New Zealand","Christmas Island","AUD"
"CYP","Asia","Western Asia","Cyprus","EUR"
"DEU","Europe","Western Europe","Germany","EUR"
"DJI","Africa","Sub-Saharan Africa","Djibouti","DJF"
"DMA","Americas","Latin America and the Caribbean","Dominica","XCD"
"DNK","Europe","Northern Europe","Denmark","DKK"
"DZA","Africa","Northern Africa","Algeria","DZD"
"ECU","Americas","Latin America and the Caribbean","Ecuador","USD"
"EGY","Africa","Northern Africa","Egypt","EGP"
"ERI","Africa","Sub-Saharan Africa","Eritrea","ERN"
"ESH","Africa","Northern Africa","Western Sahara","MAD"
"ESP","Europe","Southern Europe","Spain","EUR"
"EST","Europe","Northern Europe","Estonia","EUR"
"ETH","Africa","Sub-Saharan Africa","Ethiopia","ETB"
"FIN","Europe","Northern Europe","Finland","EUR"
"FJI","Oceania","Melanesia","Fiji","FJD"
"FRA","Europe","Western Europe","France","EUR"
"FSM","Oceania","Micronesia","Micronesia (Federated States of)","USD"
"GAB","Africa","Sub-Saharan Africa","Gabon","XAF"
"GEO","Asia","Western Asia","Georgia","GEL"
"GGY","Europe","Northern Europe","Guernsey","GBP"
"GHA","Africa","Sub-Saharan Africa","Ghana","GHS"
"GIB","Europe","Southern Europe","Gibraltar","GIP"
"GIN","Africa","Sub-Saharan Africa","Guinea","GNF"
"GLP","Americas","Latin America and the Caribbean","Guadeloupe","EUR"
"GNB","Africa","Sub-Saharan Africa","Guinea-Bissau","XOF"
"GNQ","Africa","Sub-Saharan Africa","Equatorial Guinea","XAF"
"GRC","Europe","Southern Europe","Greece","EUR"
"GRD","Americas","Latin America and the Caribbean","Grenada","XCD"
"GRL","Americas","Northern America","Greenland","DKK"
"GTM","Americas","Latin America and the Caribbean","Guatemala","GTQ"
"GUF","Americas","Latin America and the Caribbean","French Guiana","EUR"
"GUM","Oceania","Micronesia","Guam","USD"
"GUY","Americas","Latin America and the Caribbean","Guyana","GYD"
"HKG","Asia","Eastern Asia","Hong Kong","HKD"
"HMD","Oceania","Australia and New Zealand","Heard Island and McDonald Islands","AUD"
"HND","Americas","Latin America and the Caribbean","Honduras","HNL"
"HRV","Europe","Southern Europe","Croatia","HRK"
"HTI","Americas","Latin America and the Caribbean","Haiti","USD"
"HUN","Europe","Eastern Europe","Hungary","HUF"
"IDN","Asia","South-eastern Asia","Indonesia","IDR"
"IMN","Europe","Northern Europe","Isle of Man","GBP"
"IND","Asia","Southern Asia","India","INR"
"IRL","Europe","Northern Europe","Ireland","EUR"
"IRN","Asia","Southern Asia","Iran (Islamic Republic of)","IRR"
"IRQ","Asia","Western Asia","Iraq","IQD"
"ISL","Europe","Northern Europe","Iceland","ISK"
"ISR","Asia","Western Asia","Israel","ILS"
"ITA","Europe","Southern Europe","Italy","EUR"
"JAM","Americas","Latin America and the Caribbean","Jamaica","JMD"
"JEY","Europe","Northern Europe","Jersey","GBP"
"JOR","Asia","Western Asia","Jordan","JOD"
"JPN","Asia","Eastern Asia","Japan","JPY"
"KAZ","Asia","Central Asia","Kazakhstan","KZT"
"KEN","Africa","Sub-Saharan Africa","Kenya","KES"
"KGZ","Asia","Central Asia","Kyrgyzstan","KGS"
"KHM","Asia","South-eastern Asia","Cambodia","KHR"
"KIR","Oceania","Micronesia","Kiribati","AUD"
"KNA","Americas","Latin America and the Caribbean","Saint Kitts and Nevis","XCD"
"KWT","Asia","Western Asia","Kuwait","KWD"
"LBN","Asia","Western Asia","Lebanon","LBP"
"LBR","Africa","Sub-Saharan Africa","Liberia","LRD"
"LBY","Africa","Northern Africa","Libya","LYD"
"LCA","Americas","Latin America and the Caribbean","Saint Lucia","XCD"
"LIE","Europe","Western Europe","Liechtenstein","CHF"
"LKA","Asia","Southern Asia","Sri Lanka","LKR"
"LSO","Africa","Sub-Saharan Africa","Lesotho","LSL"
"LTU","Europe","Northern Europe","Lithuania","EUR"
"LUX","Europe","Western Europe","Luxembourg","EUR"
"LVA","Europe","Northern Europe","Latvia","EUR"
"MAC","Asia","Eastern Asia","Macao","MOP"
"MAF","Americas","Latin America and the Caribbean","Saint Martin (French part)","EUR"
"MAR","Africa","Northern Africa","Morocco","MAD"
"MCO","Europe","Western Europe","Monaco","EUR"
"MDG","Africa","Sub-Saharan Africa","Madagascar","MGA"
"MDV","Asia","Southern Asia","Maldives","MVR"
"MEX","Americas","Latin America and the Caribbean","Mexico","MXN"
"MLI","Africa","Sub-Saharan Africa","Mali","XOF"
"MLT","Europe","Southern Europe","Malta","EUR"
"MMR","Asia","South-eastern Asia","Myanmar","MMK"
"MNE","Europe","Southern Europe","Montenegro","EUR"
"MNG","Asia","Eastern Asia","Mongolia","MNT"
"MOZ","Africa","Sub-Saharan Africa","Mozambique","MZN"
"MRT","Africa","Sub-Saharan Africa","Mauritania","MRU"
"MSR","Americas","Latin America and the Caribbean","Montserrat","XCD"
"MTQ","Americas","Latin America and the Caribbean","Martinique","EUR"
"MUS","Africa","Sub-Saharan Africa","Mauritius","MUR"
"MWI","Africa","Sub-Saharan Africa","Malawi","MWK"
"MYS","Asia","South-eastern Asia","Malaysia","MYR"
"MYT","Africa","Sub-Saharan Africa","Mayotte","EUR"
"NAM","Africa","Sub-Saharan Africa","Namibia","NAD"
"NCL","Oceania","Melanesia","New Caledonia","XPF"
"NFK","Oceania","Australia and New Zealand","Norfolk Island","AUD"
"NGA","Africa","Sub-Saharan Africa","Nigeria","NGN"
"NIC","Americas","Latin America and the Caribbean","Nicaragua","NIO"
"NIU","Oceania","Polynesia","Niue","NZD"
"NOR","Europe","Northern Europe","Norway","NOK"
"NPL","Asia","Southern Asia","Nepal","NPR"
"NRU","Oceania","Micronesia","Nauru","AUD"
"NZL","Oceania","Australia and New Zealand","New Zealand","NZD"
"OMN","Asia","Western Asia","Oman","OMR"
"PAK","Asia","Southern Asia","Pakistan","PKR"
"PAN","Americas","Latin America and the Caribbean","Panama","USD"
"PCN","Oceania","Polynesia","Pitcairn","NZD"
"PER","Americas","Latin America and the Caribbean","Peru","PEN"
"PLW","Oceania","Micronesia","Palau","USD"
"PNG","Oceania","Melanesia","Papua New Guinea","PGK"
"POL","Europe","Eastern Europe","Poland","PLN"
"PRI","Americas","Latin America and the Caribbean","Puerto Rico","USD"
"PRT","Europe","Southern Europe","Portugal","EUR"
"PRY","Americas","Latin America and the Caribbean","Paraguay","PYG"
"PSE","Asia","Western Asia","Palestine, State of",""
"PYF","Oceania","Polynesia","French Polynesia","XPF"
"QAT","Asia","Western Asia","Qatar","QAR"
"REU","Africa","Sub-Saharan Africa","Réunion","EUR"
"ROU","Europe","Eastern Europe","Romania","RON"
"RWA","Africa","Sub-Saharan Africa","Rwanda","RWF"
"SAU","Asia","Western Asia","Saudi Arabia","SAR"
"SEN","Africa","Sub-Saharan Africa","Senegal","XOF"
"SGP","Asia","South-eastern Asia","Singapore","SGD"
"SGS","Americas","Latin America and the Caribbean","South Georgia and the South Sandwich Islands",""
"SHN","Africa","Sub-Saharan Africa","Saint Helena, Ascension and Tristan da Cunha","SHP"
"SJM","Europe","Northern Europe","Svalbard and Jan Mayen","NOK"
"SLB","Oceania","Melanesia","Solomon Islands","SBD"
"SLE","Africa","Sub-Saharan Africa","Sierra Leone","SLL"
"SLV","Americas","Latin America and the Caribbean","El Salvador","SVC"
"SMR","Europe","Southern Europe","San Marino","EUR"
"SOM","Africa","Sub-Saharan Africa","Somalia","SOS"
"SPM","Americas","Northern America","Saint Pierre and Miquelon","EUR"
"SRB","Europe","Southern Europe","Serbia","RSD"
"SSD","Africa","Sub-Saharan Africa","South Sudan","SSP"
"STP","Africa","Sub-Saharan Africa","Sao Tome and Principe","STN"
"SUR","Americas","Latin America and the Caribbean","Suriname","SRD"
"SVK","Europe","Eastern Europe","Slovakia","EUR"
"SVN","Europe","Southern Europe","Slovenia","EUR"
"SWE","Europe","Northern Europe","Sweden","SEK"
"SXM","Americas","Latin America and the Caribbean","Sint Maarten (Dutch part)","ANG"
"SYC","Africa","Sub-Saharan Africa","Seychelles","SCR"
"SYR","Asia","Western Asia","Syrian Arab Republic","SYP"
"TCD","Africa","Sub-Saharan Africa","Chad","XAF"
"TGO","Africa","Sub-Saharan Africa","Togo","XOF"
"THA","Asia","South-eastern Asia","Thailand","THB"
"TJK","Asia","Central Asia","Tajikistan","TJS"
"TKL","Oceania","Polynesia","Tokelau","NZD"
"TKM","Asia","Central Asia","Turkmenistan","TMT"
"TLS","Asia","South-eastern Asia","Timor-Leste","USD"
"TON","Oceania","Polynesia","Tonga","TOP"
"TTO","Americas","Latin America and the Caribbean","Trinidad and Tobago","TTD"
"TUN","Africa","Northern Africa","Tunisia","TND"
"TUR","Asia","Western Asia","Turkey","TRY"
"TUV","Oceania","Polynesia","Tuvalu","AUD"
"TZA","Africa","Sub-Saharan Africa","Tanzania, United Republic of","TZS"
"UGA","Africa","Sub-Saharan Africa","Uganda","UGX"
"UKR","Europe","Eastern Europe","Ukraine","UAH"
"URY","Americas","Latin America and the Caribbean","Uruguay","UYU"
"UZB","Asia","Central Asia","Uzbekistan","UZS"
"VCT","Americas","Latin America and the Caribbean","Saint Vincent and the Grenadines","XCD"
"VEN","Americas","Latin America and the Caribbean","Venezuela (Bolivarian Republic of)","VEF"
"VGB","Americas","Latin America and the Caribbean","Virgin Islands (British)","USD"
"VIR","Americas","Latin America and the Caribbean","Virgin Islands (U.S.)","USD"
"VNM","Asia","South-eastern Asia","Viet Nam","VND"
"VUT","Oceania","Melanesia","Vanuatu","VUV"
"WLF","Oceania","Polynesia","Wallis and Futuna","XPF"
"WSM","Oceania","Polynesia","Samoa","WST"
"YEM","Asia","Western Asia","Yemen","YER"
"ZAF","Africa","Sub-Saharan Africa","South Africa","ZAR"
"ZMB","Africa","Sub-Saharan Africa","Zambia","ZMW"
"ZWE","Africa","Sub-Saharan Africa","Zimbabwe","ZWL"
